序号,篇名,作者,刊名,发表时间,被引,自引,外引,文献总数
202,银丝镶嵌工艺在现代首饰中的应用,左元,艺术研究,2020-06-15,0,0,0,892
203,以花茶包装设计为例探究包装设计的要素,梁晶莹,艺术研究,2020-06-15,1,0,1,892
204,汉代灯具的造物之美,胡广晶； 刘洁,艺术研究,2020-06-15,0,0,0,892
205,中国传统剪纸艺术在现代设计中的美学价值,梁倩； 孙慧良,艺术研究,2020-06-15,4,0,4,892
206,苗绣蝶纹造型艺术之生命美学观探析,林珍香,艺术研究,2020-06-15,0,0,0,892
207,文化遗产的存在和延续——以扬州剪纸调研为例的手工艺“人”和“嬗变”关键词诘问,李成,艺术研究,2020-06-15,1,1,0,892
208,成都文化符号在餐饮空间设计中的应用研究,夏惠； 张熹,艺术研究,2020-06-15,1,0,1,892
209,虚拟现实的城市公共设施构建设计——以湛江市为例,康琳英,艺术研究,2020-06-15,1,0,1,892
210,公共空间水体景观的设计——以北京市海淀区为例,郭君姝,艺术研究,2020-06-15,0,0,0,892
211,广州番禺天安科技园23号楼2101-05海铭集团设计方案,蒙子伟,艺术研究,2020-06-15,0,0,0,892
212,荆楚文化元素在室内设计中的传承与应用,高峰,艺术研究,2020-06-15,0,0,0,892
213,从建筑立面谈隈研吾“材料让建筑消隐”,李心桐,艺术研究,2020-06-15,1,0,1,892
214,基于企业文化背景下对现代办公空间的设计研究,杨向掔尉； 张熹,艺术研究,2020-06-15,0,0,0,892
215,基于CPTED理论的中学校园环境优化设计——以浙江省余姚市第四中学为例,张志豪； 马锡栋,艺术研究,2020-06-15,2,0,2,892
216,双一流建设背景下美术教育教学存在的问题及改进,马碧峰,艺术研究,2020-06-15,0,0,0,892
217,国内外高校公共艺术教育现状与启示,于丽燕,艺术研究,2020-06-15,0,0,0,892
218,信息时代下传统音乐文化的传承探究——以汉族民歌为例,姜玥,艺术研究,2020-06-15,0,0,0,892
219,歌唱艺术中的深层情感多元化思维——谈中国古诗词《钗头凤》声情话意,李丽丹,艺术研究,2020-06-15,1,0,1,892
220,37簧笙协奏曲《笙声漫》的艺术特色,杨磊； 何谐,艺术研究,2020-06-15,0,0,0,892
221,古典音韵与现代音乐风格的杂糅——曹轩宾《别君叹》创作特色探微,陈旭,艺术研究,2020-06-15,1,0,1,892
222,陕西民间文化中声音景观的传播研究——西安鼓乐采访札记,蒋晶,艺术研究,2020-06-15,1,0,1,892
223,基于田野调查的江西苏区音乐研究,陈雅萍,艺术研究,2020-06-15,1,0,1,892
224,《玫瑰三愿》的音乐特征与演唱分析,胡影,艺术研究,2020-06-15,1,0,1,892
225,钢琴基础课教学实效性分析,汪璇,艺术研究,2020-06-15,0,0,0,892
226,钢琴即兴伴奏能力在高校专业教学领域的提升策略,张中灿,艺术研究,2020-06-15,0,0,0,892
227,少儿声乐教学中的问题与对策研究,潘丽,艺术研究,2020-06-15,1,0,1,892
228,高校音乐教育专业视唱练耳教学思考,程盈盈,艺术研究,2020-06-15,0,0,0,892
229,民族风格钢琴曲《二泉映月》的演奏特点,刘芳,艺术研究,2020-06-15,1,0,1,892
230,中日筝乐传承模式比较,吴琴,艺术研究,2020-06-15,0,0,0,892
231,跨文化语境中的中国音乐教学初探,王艳莉,艺术研究,2020-06-15,0,0,0,892
232,文化跨界与交融——黑龙江流域少数民族音乐的创新与传承,张建明； 王锐,艺术研究,2020-06-15,4,0,4,892
233,欢迎回家——致敬援鄂医务英雄,姜晨； 孔鞠,艺术研究,2020-06-15,0,0,0,892
234,新媒体环境下动画角色造型设计的艺术表现性研究,赖育煌,艺术研究,2020-06-15,1,0,1,892
235,展现人生 呼唤真情——浅谈电视剧《真情年代》的表导艺术性,唐衍欢,艺术研究,2020-06-15,0,0,0,892
236,《婺源写生2》,张一帆,艺术研究,2020-06-15,0,0,0,892
237,从《林禽雀》到《花鸟卷》考察钱选画风之转变,张梦甜,艺术研究,2020-06-15,0,0,0,892
238,从构成美的角度领略周中耀工笔花鸟画的魅力,吴丽平,艺术研究,2020-06-15,1,0,1,892
239,新媒体时代沙画艺术的发展及传播分析,毕瑞芳,艺术研究,2020-06-15,2,0,2,892
240,徽州三雕进校园的探索研究——以安徽师范大学为例,罗宗勇,艺术研究,2020-06-15,0,0,0,892
241,动态插画在视觉传达中的创新研究,陈放,艺术研究,2020-06-15,0,0,0,892
242,探赜泼彩绘画中具象形体的画面解释力,李玉明,艺术研究,2020-06-15,0,0,0,892
243,《山海关角山写生》,李岗,艺术研究,2020-06-15,0,0,0,892
244,生产技术的革新对中国古代漆器艺术的影响,温静； 杨若欣,艺术研究,2020-06-15,0,0,0,892
245,当代漆画的“绘画性”刍议,夏梦洁,艺术研究,2020-06-15,0,0,0,892
246,吕克·图伊曼斯与张恩利的绘画对比研究,徐颖茜,艺术研究,2020-06-15,0,0,0,892
247,黑龙江流域少数民族传统装饰绘画与工艺美术造型制作的比较研究,邱岩峰； 徐铭杰,艺术研究,2020-06-15,0,0,0,892
248,《丝路漆语——大漆之敦煌系列一》,赵庆峰,艺术研究,2020-06-15,0,0,0,892
249,宋代古人对插花的热衷——以青瓷花器浅析,赖夏玄,艺术研究,2020-06-15,0,0,0,892
250,北大荒版画的特出者,王士军,艺术研究,2020-06-15,0,0,0,892
251,前进中的当代中国新农村农民画的真实性元素研究,刘仕伟； 王坤青,艺术研究,2020-06-15,0,0,0,892
252,夏加尔绘画中公鸡形象的解析,水利芹,艺术研究,2020-06-15,1,0,1,892
253,艺术思想与创作技艺的关系,徐清新,艺术研究,2020-06-15,0,0,0,892
254,开启视觉空间的“魔方”——关于海报设计中的空间表现,陈英； 周茹瑜,艺术研究,2020-06-15,0,0,0,892
255,近代扬州漆艺文化的发展初探,孙津,艺术研究,2020-06-15,1,0,1,892
256,老子哲学思想与中国传统绘画探微,王莉,艺术研究,2020-06-15,1,0,1,892
257,陈洪绶传记解读,张洁,艺术研究,2020-06-15,1,0,1,892
258,感性与理性的碰撞——中西版式设计中的“留白”,姚化化,艺术研究,2020-06-15,1,0,1,892
259,“第二自然”的美术再造——兼谈广州文化遗产美术创作研究,刘光炜,艺术研究,2020-06-15,0,0,0,892
260,亳州地区烙画艺术发展之路——记亳州三县一区烙画艺人访谈感想,焦晓军； 张黎,艺术研究,2020-06-15,1,0,1,892
261,扬州漆器螺钿镶嵌工艺——访扬州漆器厂,刘腾,艺术研究,2020-06-15,0,0,0,892
262,日常生活的诗意,王士军,艺术研究,2020-06-15,0,0,0,892
